
classes:   0%|          | 0/3423 [00:00<?, ?it/s]
classes:  27%|##6       | 918/3423 [07:34<1:16:31,  1.83s/it]
classes:  27%|##6       | 919/3423 [07:36<1:12:39,  1.74s/it]
classes:  27%|##6       | 920/3423 [07:37<1:11:41,  1.72s/it]
classes:  27%|##6       | 921/3423 [07:39<1:13:19,  1.76s/it]
classes:  27%|##6       | 922/3423 [07:41<1:13:22,  1.76s/it]
classes:  27%|##6       | 923/3423 [07:43<1:13:00,  1.75s/it]
classes:  27%|##6       | 924/3423 [07:45<1:24:04,  2.02s/it]
classes:  27%|##7       | 925/3423 [07:47<1:20:15,  1.93s/it]
classes:  27%|##7       | 926/3423 [07:49<1:21:01,  1.95s/it]
classes:  27%|##7       | 927/3423 [07:50<1:15:20,  1.81s/it]
classes:  27%|##7       | 928/3423 [07:52<1:11:53,  1.73s/it]
classes:  27%|##7       | 929/3423 [07:54<1:13:57,  1.78s/it]
classes:  27%|##7       | 930/3423 [07:56<1:15:46,  1.82s/it]
classes:  27%|##7       | 931/3423 [07:58<1:17:40,  1.87s/it]
classes:  27%|##7       | 932/3423 [08:00<1:18:55,  1.90s/it]
classes:  27%|##7       | 933/3423 [08:02<1:18:54,  1.90s/it]
classes:  27%|##7       | 934/3423 [08:03<1:16:30,  1.84s/it]
classes:  27%|##7       | 935/3423 [08:05<1:15:12,  1.81s/it]
classes:  27%|##7       | 936/3423 [08:07<1:13:52,  1.78s/it]
classes:  27%|##7       | 937/3423 [08:09<1:15:05,  1.81s/it]
classes:  27%|##7       | 938/3423 [08:10<1:13:53,  1.78s/it]
classes:  27%|##7       | 939/3423 [08:13<1:25:17,  2.06s/it]
classes:  27%|##7       | 940/3423 [08:15<1:24:28,  2.04s/it]
classes:  27%|##7       | 941/3423 [08:17<1:26:23,  2.09s/it]
classes:  28%|##7       | 942/3423 [08:19<1:24:29,  2.04s/it]
classes:  28%|##7       | 943/3423 [08:21<1:20:14,  1.94s/it]
classes:  28%|##7       | 944/3423 [08:23<1:21:19,  1.97s/it]
classes:  28%|##7       | 945/3423 [08:25<1:22:47,  2.00s/it]
classes:  28%|##7       | 946/3423 [08:27<1:23:44,  2.03s/it]
classes:  28%|##7       | 947/3423 [08:29<1:22:47,  2.01s/it]
classes:  28%|##7       | 948/3423 [08:31<1:22:58,  2.01s/it]
classes:  28%|##7       | 949/3423 [08:34<1:33:03,  2.26s/it]
classes:  28%|##7       | 950/3423 [08:36<1:30:00,  2.18s/it]
classes:  28%|##7       | 951/3423 [08:38<1:25:07,  2.07s/it]
classes:  28%|##7       | 952/3423 [08:40<1:24:46,  2.06s/it]
classes:  28%|##7       | 953/3423 [08:41<1:19:10,  1.92s/it]
classes:  28%|##7       | 954/3423 [08:43<1:19:23,  1.93s/it]
classes:  28%|##7       | 955/3423 [08:45<1:19:50,  1.94s/it]
classes:  28%|##7       | 956/3423 [08:47<1:18:25,  1.91s/it]
classes:  28%|##7       | 957/3423 [08:49<1:18:55,  1.92s/it]
classes:  28%|##7       | 958/3423 [08:51<1:17:59,  1.90s/it]
classes:  28%|##8       | 959/3423 [08:53<1:20:58,  1.97s/it]
classes:  28%|##8       | 960/3423 [08:55<1:20:16,  1.96s/it]
classes:  28%|##8       | 961/3423 [08:57<1:20:16,  1.96s/it]
classes:  28%|##8       | 962/3423 [08:59<1:19:40,  1.94s/it]
classes:  28%|##8       | 963/3423 [09:01<1:16:42,  1.87s/it]
classes:  28%|##8       | 964/3423 [09:02<1:15:31,  1.84s/it]
classes:  28%|##8       | 965/3423 [09:04<1:15:04,  1.83s/it]
classes:  28%|##8       | 966/3423 [09:06<1:15:38,  1.85s/it]
classes:  28%|##8       | 967/3423 [09:08<1:11:48,  1.75s/it]
classes:  28%|##8       | 968/3423 [09:10<1:14:26,  1.82s/it]
classes:  28%|##8       | 969/3423 [09:11<1:12:00,  1.76s/it]
classes:  28%|##8       | 970/3423 [09:13<1:13:05,  1.79s/it]
classes:  28%|##8       | 971/3423 [09:15<1:11:03,  1.74s/it]
